player_id,season,position_std,min,pts,reb,ast,stl,blk,tov,fg_pct,fg3_pct,ft_pct,height_m,weight_kg,BMI,body_fat_pct_est,lean_mass_kg,fat_mass_kg,injured
96,1987,Small Forward,2742.0,1232.0,554.0,341.0,60.0,19.0,168.0,0.49,0.42,0.84,2.08,106.6,24.6,21.8,83.4,23.2,0
1629725,2019,Point Guard,99.0,64.0,10.0,18.0,7.0,2.0,4.0,0.45,0.28,0.79,1.88,83.9,23.7,17.8,69.0,14.9,0
76487,1968,Small Forward,3194.0,2114.0,1101.0,352.0,0.0,0.0,0.0,0.47,0.0,0.73,1.98,95.3,24.3,20.3,76.0,19.3,0
120,1994,Shooting Guard,2857.0,1464.0,309.0,292.0,75.0,29.0,176.0,0.44,0.35,0.86,2.03,100.2,24.3,21.0,79.2,21.0,0
0,,,596.0,232.0,52.0,69.0,39.0,3.0,45.0,0.49,0.33,0.83,,,,,,,0
77110,1990,Point Guard,1309.0,492.0,179.0,105.0,64.0,11.0,83.0,0.47,0.15,0.73,1.98,93.0,23.7,17.8,76.4,16.6,0
0,,,1333.0,516.0,306.0,49.0,61.0,39.0,34.0,0.52,0.28,0.76,,,,,,,0
2733,2016,Point Guard,1261.0,479.0,149.0,164.0,47.0,29.0,88.0,0.47,0.25,0.86,2.01,87.1,21.6,17.3,72.0,15.1,1
101160,2007,Small Forward,969.0,283.0,261.0,30.0,36.0,13.0,36.0,0.45,0.0,0.72,2.06,108.9,25.7,20.2,86.9,22.0,1
1629685,2025,Shooting Guard,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,2.01,88.9,22.0,16.4,74.3,14.6,0
2399,2032,Shooting Guard,1445.0,677.0,204.0,117.0,28.0,8.0,58.0,0.47,0.4,0.81,2.06,104.3,24.6,21.6,81.8,22.5,0
228,2008,Small Forward,1708.0,499.0,455.0,64.0,51.0,41.0,88.0,0.52,0.0,0.69,2.06,104.3,24.6,20.2,83.2,21.1,0
2242,2002,UNKNOWN,633.0,182.0,128.0,25.0,8.0,17.0,29.0,0.47,0.22,0.79,,,,,,,0
1626171,2017,Small Forward,2028.0,1052.0,657.0,86.0,53.0,51.0,90.0,0.48,0.39,0.75,2.11,113.4,25.5,20.8,89.8,23.6,0
77419,1996,Point Guard,1158.0,536.0,85.0,318.0,62.0,2.0,102.0,0.46,0.32,0.8,1.9,79.4,22.0,18.5,64.7,14.7,0
423,1999,Small Forward,612.0,306.0,182.0,16.0,31.0,36.0,44.0,0.57,0.0,0.66,,,,,,,0
77528,1988,Point Guard,1760.0,697.0,148.0,292.0,58.0,34.0,141.0,0.47,0.0,0.74,1.9,86.2,23.9,18.9,69.9,16.3,0
1631165,2025,Point Guard,71.0,24.0,8.0,6.0,5.0,1.0,1.0,0.44,0.5,0.57,1.9,79.4,22.0,15.5,67.1,12.3,0
203200,2036,Shooting Guard,411.0,126.0,23.0,25.0,5.0,10.0,12.0,0.38,0.34,0.0,1.98,81.6,20.8,16.6,68.1,13.5,0
0,,,869.0,364.0,199.0,81.0,25.0,28.0,44.0,0.53,0.24,0.76,,,,,,,0
77150,1981,Small Forward,1671.0,878.0,568.0,97.0,0.0,0.0,0.0,0.46,0.0,0.72,1.98,104.3,26.6,24.2,79.1,25.2,0
955,2005,Small Forward,602.0,214.0,147.0,17.0,15.0,22.0,39.0,0.44,0.0,0.65,2.06,117.9,27.8,23.8,89.8,28.1,1
0,,,2843.0,1273.0,238.0,225.0,0.0,0.0,0.0,0.46,0.0,0.69,,,,,,,0
1627767,2022,Power Forward,581.0,254.0,211.0,19.0,11.0,21.0,28.0,0.58,0.0,0.76,2.03,99.3,24.1,18.5,80.9,18.4,0
1627853,2030,Point Guard,172.0,26.0,15.0,23.0,5.0,0.0,7.0,0.24,0.35,0.0,1.9,88.5,24.5,19.6,71.2,17.3,0
754,2033,Shooting Guard,1824.0,589.0,290.0,140.0,42.0,14.0,106.0,0.44,0.47,0.86,1.98,99.8,25.5,22.4,77.4,22.4,0
77734,1946,Center,0.0,521.0,0.0,30.0,0.0,0.0,0.0,0.3,0.0,0.54,2.03,88.5,21.5,15.4,74.9,13.6,0
76001,2000,Small Forward,290.0,135.0,89.0,12.0,4.0,12.0,22.0,0.47,0.0,0.57,2.08,108.9,25.2,20.0,87.1,21.8,0
1630637,2023,Point Guard,23.0,4.0,3.0,5.0,1.0,0.0,3.0,0.11,0.0,1.0,1.83,78.9,23.6,18.1,64.6,14.3,0
1885,2000,Small Forward,2767.0,1259.0,595.0,317.0,91.0,95.0,258.0,0.44,0.36,0.72,2.08,104.3,24.1,20.5,82.9,21.4,0
77721,1983,Point Guard,3226.0,1446.0,229.0,642.0,147.0,14.0,288.0,0.52,0.12,0.78,1.88,77.1,21.8,17.6,63.5,13.6,0
76821,1992,Small Forward,71.0,20.0,3.0,9.0,3.0,0.0,5.0,0.3,0.0,0.67,1.96,100.2,26.1,21.6,78.6,21.6,0
1631254,2022,Small Forward,99.0,39.0,15.0,14.0,3.0,3.0,6.0,0.38,0.3,0.53,1.98,124.7,31.8,26.8,91.3,33.4,0
2558,2011,Point Guard,360.0,69.0,39.0,40.0,11.0,2.0,18.0,0.29,0.3,0.64,1.98,93.0,23.7,17.8,76.4,16.6,0
76098,1950,Point Guard,494.0,126.0,81.0,70.0,0.0,0.0,0.0,0.3,0.0,0.59,1.88,83.9,23.7,19.1,67.9,16.0,0
77340,1961,Small Forward,2316.0,1170.0,660.0,165.0,0.0,0.0,0.0,0.46,0.0,0.79,2.03,99.8,24.2,20.0,79.8,20.0,0
202337,2022,Small Forward,715.0,259.0,96.0,31.0,8.0,7.0,19.0,0.42,0.38,0.77,2.06,102.1,24.1,19.2,82.5,19.6,0
22,2005,Center,2381.0,1400.0,601.0,111.0,40.0,79.0,189.0,0.53,0.0,0.75,2.24,120.2,24.0,20.2,95.9,24.3,0
0,,,380.0,124.0,35.0,47.0,15.0,10.0,26.0,0.38,0.33,0.69,,,,,,,0
0,,,515.0,191.0,72.0,41.0,14.0,5.0,32.0,0.36,0.3,0.67,,,,,,,0
77004,1952,Center,0.0,296.0,0.0,48.0,0.0,0.0,0.0,0.32,0.0,0.67,2.06,97.5,23.0,17.1,80.8,16.7,0
1080,1993,Small Forward,866.0,418.0,112.0,25.0,16.0,11.0,43.0,0.41,0.32,0.8,2.03,99.8,24.2,20.2,79.6,20.2,0
203457,2020,Power Forward,562.0,85.0,141.0,23.0,30.0,31.0,20.0,0.53,0.0,0.7,2.08,99.8,23.1,18.0,81.8,18.0,1
2215,2009,Center,172.0,25.0,19.0,4.0,8.0,1.0,7.0,0.46,0.0,0.75,2.13,115.7,25.5,22.4,89.8,25.9,1
76305,1983,Center,1525.0,653.0,482.0,131.0,62.0,81.0,123.0,0.43,0.0,0.79,2.18,102.1,21.5,16.0,85.8,16.3,0
203210,2025,Power Forward,1307.0,430.0,388.0,49.0,29.0,24.0,54.0,0.43,0.39,0.75,2.06,103.0,24.3,20.6,81.8,21.2,0
0,,,25.0,6.0,1.0,7.0,0.0,0.0,1.0,0.4,0.33,0.5,,,,,,,0
77765,1972,Small Forward,1372.0,592.0,333.0,84.0,0.0,0.0,0.0,0.44,0.0,0.74,2.03,99.8,24.2,19.3,80.5,19.3,0
2206,2005,Small Forward,677.0,293.0,89.0,44.0,32.0,11.0,37.0,0.42,0.4,0.61,2.06,104.3,24.6,18.8,84.7,19.6,0
78504,1994,Point Guard,354.0,105.0,31.0,54.0,27.0,0.0,24.0,0.52,0.0,0.75,1.85,83.9,24.5,19.9,67.2,16.7,0
944,1994,Small Forward,44.0,21.0,14.0,3.0,3.0,1.0,5.0,0.28,0.0,0.85,2.06,99.8,23.5,17.3,82.5,17.3,0
